Material Number,Contribution Margin,Gross Margin %,Profit per Customer,Profit per Product,Profit per Batch,Profit per Plant,Planned Material Cost,Actual Material Cost,Packaging Cost,Labor Cost,Quality Cost,Manufacturing Overhead,Freight Cost,Cost Variance,Production Variance,Purchase Price Variance (PPV),Gross Revenue,Contract Manufacturing Fee,Discounts / Rebates,Freight Revenue,Net Revenue,Customer,Customer Group,Product (Material),Material Description,Product Category,Dosage Form,Formula Version,Batch Number,Plant,Sales Organization,Distribution Channel,Region / Country
MAT200000,22608.46,11.87,7147.8,4834.65,1769.31,6500.76,9676.23,9206.07,849.37,1214.38,130.25,1238.94,7513.93,-507.64,-37.48,-470.16,190397.36,154566.32,18183.19,878.27,137261.4,CarePharma,Pharmacy,Mineral Supplement - Tablet,Magnesium Glycinate Tablet – 400 mg,Mineral Supplement,Tablet,FV-A-3,BATCH2026010000,PL05,SO-US01,B2B,Australia
MAT200001,131964.46,27.75,40301.2,41851.12,12651.12,15130.46,23792.5,22343.58,1417.11,2819.56,934.68,3758.62,771.57,-1307.5,141.42,-1448.92,475603.58,344160.67,42093.92,5939.83,308006.58,PetCareCo,Wholesale,Collagen Powder - Powder,Collagen Peptides Powder – Unflavored – 500 g,Collagen Powder,Powder,FV-A-1,BATCH2026010001,PL02,SO-EU01,B2C,Singapore
MAT200002,151357.71,41.2,40897.97,54454.53,9069.59,20777.8,18433.85,17467.69,656.93,1762.92,920.65,1785.63,1653.77,-1188.92,-222.76,-966.16,367337,238352.64,24110.09,8028.91,222271.46,VitaStore,Distributors,Protein Powder - Powder,Whey Protein Powder – Chocolate – 1 kg,Protein Powder,Powder,FV-C-4,BATCH2026010002,PL02,SO-IN01,B2C,UK
MAT200003,50778.48,16.85,15164.61,17919.45,4807.89,11673.68,15167.13,15390.05,1197.16,1730.84,731.41,2365.5,5265.87,994.02,771.1,222.92,301335.95,236295.73,25347.67,7691.84,218639.9,PeakNutrition,E-Commerce,Probiotic Capsules - Capsule,Probiotic Capsule – 20 Billion CFU – Gut Health,Probiotic Capsules,Capsule,FV-B-1,BATCH2026010003,PL01,SO-EU01,B2B,India
MAT200004,25622.2,31.16,6995.36,9415.63,1801.45,4789.87,4322.46,4741.34,231.23,421.28,224.21,495.02,3590.75,540.95,122.07,418.88,82229.23,57944.43,5547.39,8406.48,60803.52,PeakNutrition,Pharmacy,Metabolic Formula - Capsule,Metabolic Support Capsule – Herbal Blend,Metabolic Formula,Capsule,FV-B-4,BATCH2026010004,PL03,SO-IN01,B2B,Canada
MAT200005,19108.75,23.24,6336.2,7564.99,1485.89,3854.18,4321.87,4243.4,292.03,585.75,254.87,549.7,4166.19,41.21,119.68,-78.47,82217.29,61552.54,8676.48,9798.69,62674.75,FitLife,E-Commerce,Amino Acid - Powder,Essential Amino Acid Powder – Berry Flavor,Amino Acid,Powder,FV-B-5,BATCH2026010005,PL04,SO-IN01,B2C,Singapore
MAT200006,15246.54,45.17,5595.57,6085.87,1491.28,2409.85,1923.05,1939.13,54.96,304.91,114.98,310.15,2464.28,-18.59,-34.67,16.08,33751.39,21155.92,4338.87,9959.03,26776.08,PetCareCo,E-Commerce,Mineral Supplement - Tablet,Magnesium Glycinate Tablet – 400 mg,Mineral Supplement,Tablet,FV-A-5,BATCH2026010006,PL05,SO-IN01,B2C,UK
MAT200007,93599.25,21.58,33450.4,26403.75,12975.67,20003.02,21721.32,20128.53,1531.93,3308.08,663.01,5010.48,4634.66,-914.75,678.04,-1592.79,433757.19,328742.84,53046.89,4222.58,279918.53,CarePharma,E-Commerce,Skin & Coat - Capsule,Pet Omega Supplement – Skin & Coat Health,Skin & Coat,Capsule,FV-A-5,BATCH2026010007,PL02,SO-IN01,B2B,USA
MAT200008,100417.68,33.19,26925.84,30167.38,10829.12,11660.38,15227.32,15836.64,759.6,1435.78,534.55,2715.48,828.63,1114.95,505.63,609.32,302551.93,209785.76,19451.07,5120.53,195455.22,FitLife,Pharmacy,Keto Supplement - Capsule,Keto Support Capsule – Exogenous Ketones,Keto Supplement,Capsule,FV-D-1,BATCH2026010008,PL04,SO-AP01,B2B,South Africa
MAT200009,124286.57,34.96,37520.11,37240.81,6433.92,16246.48,17847.78,17631.94,834.12,2074.35,623.05,1481.43,1398,-1021.47,-805.63,-215.84,355495.93,242998.33,30652.47,5082.19,217428.05,HealthyWorld,Distributors,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-A-3,BATCH2026010009,PL04,SO-US01,B2B,Australia
